id,sentiment_negative,sentiment_neutral,sentiment_positive,topic_id,topic_probability,predicted_behavior,source,score,engagement,keyword_count
1,0.014171616174280643,0.5229756236076355,0.46285274624824524,13,1.0,passive_browsing,youtube,9,5,1
2,0.003802269697189331,0.3965098559856415,0.5996878147125244,-1,0.0,passive_browsing,youtube,157,3,1
9,0.0038296168204396963,0.01036940235644579,0.9858009219169617,0,1.0,purchase_intent,youtube,0,1,2
10,0.004660682287067175,0.007447461131960154,0.9878919124603271,0,1.0,purchase_intent,youtube,4,1,1
23,0.0024645652156323195,0.006737441755831242,0.9907979965209961,0,0.9104397221974675,purchase_intent,youtube,1,1,2
30,0.007813045755028725,0.029723085463047028,0.9624638557434082,0,1.0,purchase_intent,youtube,2,0,2
45,0.002747482154518366,0.021182416006922722,0.9760701060295105,0,0.9308250813075205,purchase_intent,youtube,2,2,3
54,0.021106163039803505,0.9471063613891602,0.031787555664777756,-1,0.0,passive_browsing,youtube,1,0,1
65,0.02114533632993698,0.8583666086196899,0.12048813700675964,1,0.6701896161961013,passive_browsing,youtube,0,0,1
66,0.0294497087597847,0.902816116809845,0.06773413717746735,11,0.8972120470091649,passive_browsing,youtube,0,1,2
71,0.02782331220805645,0.4359654188156128,0.5362112522125244,0,0.7895137670537655,passive_browsing,youtube,0,0,1
81,0.013588483445346355,0.8826579451560974,0.10375361144542694,0,0.7212413639825394,passive_browsing,youtube,0,1,2
82,0.0032303077168762684,0.010125454515218735,0.9866442084312439,0,0.6428411038145002,purchase_intent,youtube,2,1,1
83,0.8600520491600037,0.11503094434738159,0.024917028844356537,-1,0.0,churn_risk,youtube,0,1,3
84,0.41868093609809875,0.5352271795272827,0.04609188064932823,-1,0.0,passive_browsing,youtube,0,0,1
87,0.11854781210422516,0.8459915518760681,0.03546055033802986,13,0.10215887611977689,passive_browsing,youtube,0,3,1
94,0.005330642219632864,0.06144538149237633,0.9332240223884583,-1,0.0,purchase_intent,youtube,0,0,3
96,0.02037922479212284,0.5673021078109741,0.41231873631477356,-1,0.0,passive_browsing,youtube,0,0,3
101,0.028557028621435165,0.47867947816848755,0.49276357889175415,0,0.9683608621893881,passive_browsing,youtube,42,0,1
102,0.009083772078156471,0.49865713715553284,0.49225908517837524,0,0.7697798641224151,passive_browsing,youtube,25,1,2
103,0.019672341644763947,0.3008270561695099,0.6795006394386292,0,1.0,passive_browsing,youtube,9,0,1
105,0.040609996765851974,0.871903657913208,0.08748625963926315,0,0.348178192829128,passive_browsing,youtube,19,2,1
112,0.004666028544306755,0.021059390157461166,0.9742745161056519,0,0.8864690970215078,purchase_intent,youtube,0,0,1
115,0.014275196939706802,0.09613969177007675,0.8895851373672485,0,1.0,purchase_intent,youtube,0,0,1
116,0.004192802123725414,0.008521419949829578,0.9872857928276062,0,0.8101157973875188,purchase_intent,youtube,0,0,1
122,0.004761954303830862,0.028102384880185127,0.9671356678009033,0,0.9953901258655936,purchase_intent,youtube,0,0,1
123,0.01054602675139904,0.3295518159866333,0.6599022150039673,0,1.0,passive_browsing,youtube,1,0,1
127,0.05042976140975952,0.8050603270530701,0.14450982213020325,-1,0.0,passive_browsing,youtube,3,1,1
128,0.48237282037734985,0.45836153626441956,0.05926569923758507,0,0.7831792066816192,passive_browsing,youtube,3,1,1
131,0.021303998306393623,0.9465785026550293,0.032117508351802826,0,0.933875827302158,passive_browsing,youtube,3,1,1
132,0.009793316945433617,0.25966566801071167,0.7305409908294678,0,0.7082272404923591,purchase_intent,youtube,0,0,1
135,0.06532446295022964,0.5396082997322083,0.3950672149658203,0,1.0,passive_browsing,youtube,0,0,1
148,0.03378751501441002,0.935961127281189,0.03025124967098236,1,0.6804412134419845,passive_browsing,youtube,0,1,1
159,0.0043379138223826885,0.014848771505057812,0.9808133244514465,-1,0.0,purchase_intent,youtube,0,0,1
166,0.22406628727912903,0.29115810990333557,0.48477551341056824,-1,0.0,passive_browsing,youtube,1241,21,1
169,0.042423397302627563,0.2708454132080078,0.6867311596870422,0,0.5025871777389996,passive_browsing,youtube,25,1,3
171,0.2844143807888031,0.49051907658576965,0.22506652772426605,0,1.0,passive_browsing,youtube,77,2,1
173,0.007101269438862801,0.25273996591567993,0.7401587963104248,-1,0.0,purchase_intent,youtube,10,1,5
175,0.007580920588225126,0.023324010893702507,0.9690950512886047,0,1.0,purchase_intent,youtube,11,0,1
180,0.11661018431186676,0.5558517575263977,0.32753807306289673,-1,0.0,passive_browsing,youtube,142,10,1
182,0.7880198955535889,0.19506311416625977,0.016917070373892784,-1,0.0,churn_risk,youtube,29,2,1
183,0.08655373752117157,0.7064106464385986,0.20703566074371338,-1,0.0,passive_browsing,youtube,44,4,1
186,0.050013236701488495,0.641139030456543,0.30884766578674316,42,1.0,passive_browsing,youtube,3,0,1
192,0.6034656167030334,0.3560958504676819,0.040438514202833176,0,1.0,passive_browsing,youtube,3,0,3
203,0.06078232824802399,0.7682034969329834,0.17101414501667023,-1,0.0,passive_browsing,youtube,2,0,1
206,0.05194329470396042,0.594398558139801,0.35365816950798035,-1,0.0,passive_browsing,youtube,19,1,1
215,0.07350173592567444,0.7224142551422119,0.20408406853675842,-1,0.0,passive_browsing,youtube,1,0,1
218,0.008489871397614479,0.46495357155799866,0.5265565514564514,-1,0.0,passive_browsing,youtube,1,0,1
219,0.06718996912240982,0.5309734344482422,0.4018366038799286,0,0.7723362975270162,passive_browsing,youtube,22,3,1
222,0.026153085753321648,0.7079184651374817,0.2659284472465515,0,1.0,passive_browsing,youtube,1,0,4
223,0.33778783679008484,0.47306692600250244,0.18914520740509033,-1,0.0,passive_browsing,youtube,5,1,1
228,0.1467105746269226,0.7111769318580627,0.14211249351501465,0,0.7913439797439041,passive_browsing,youtube,3,0,1
235,0.009293057024478912,0.08116728067398071,0.9095396995544434,0,1.0,purchase_intent,youtube,2,0,1
241,0.012168738059699535,0.34597471356391907,0.6418565511703491,39,0.8545585344018652,passive_browsing,youtube,2,0,2
242,0.23024334013462067,0.39889955520629883,0.37085703015327454,-1,0.0,passive_browsing,youtube,9,3,1
248,0.34075790643692017,0.3704792261123657,0.2887628674507141,0,1.0,passive_browsing,youtube,18,1,1
250,0.009990819729864597,0.24832580983638763,0.7416833639144897,-1,0.0,purchase_intent,youtube,9,0,1
252,0.7529512047767639,0.21291053295135498,0.03413834422826767,-1,0.0,churn_risk,youtube,343,10,1
253,0.01147907879203558,0.23742887377738953,0.7510920763015747,0,0.5279138148633238,purchase_intent,youtube,1,0,1
257,0.0834110826253891,0.789402961730957,0.12718597054481506,-1,0.0,passive_browsing,youtube,1,0,1
258,0.11458966881036758,0.770596444606781,0.11481385678052902,0,0.6421164577008794,passive_browsing,youtube,4,1,2
260,0.008932932280004025,0.9138946533203125,0.07717239856719971,0,0.8359432418028313,passive_browsing,youtube,0,0,1
261,0.003014517715200782,0.012390335090458393,0.9845951795578003,-1,0.0,purchase_intent,youtube,2,1,1
263,0.0028469625394791365,0.008763760328292847,0.988389253616333,0,0.9848595298628722,purchase_intent,youtube,1,1,1
264,0.006370122544467449,0.03339138254523277,0.960238516330719,0,0.6163471453988185,purchase_intent,youtube,1,1,1
266,0.004196935333311558,0.018185200169682503,0.9776178002357483,-1,0.0,purchase_intent,youtube,0,1,1
267,0.48078176379203796,0.3880407512187958,0.13117749989032745,0,1.0,passive_browsing,youtube,3,1,2
273,0.007079274859279394,0.03752521798014641,0.9553955793380737,2,0.9357696544698273,purchase_intent,youtube,0,1,1
274,0.02142925001680851,0.8586089611053467,0.11996173858642578,0,1.0,passive_browsing,youtube,2,2,1
280,0.004909059032797813,0.033659614622592926,0.9614313840866089,-1,0.0,purchase_intent,youtube,0,1,1
288,0.00291787669993937,0.03542759642004967,0.961654543876648,-1,0.0,purchase_intent,youtube,0,0,2
291,0.012634757906198502,0.029167842119932175,0.9581974148750305,-1,0.0,purchase_intent,youtube,38,2,1
293,0.013996658846735954,0.8021287322044373,0.18387462198734283,-1,0.0,passive_browsing,youtube,30,3,1
295,0.004634780343621969,0.016050981357693672,0.9793142676353455,0,0.9734862239192664,purchase_intent,youtube,0,0,1
296,0.02079513855278492,0.9391692280769348,0.040035635232925415,0,1.0,passive_browsing,youtube,2,1,1
300,0.03891058266162872,0.9014745354652405,0.0596148706972599,-1,0.0,passive_browsing,youtube,0,0,3
