feature,gini_importance,perm_importance
sentiment_positive,0.36787834629538124,0.30992098331870055
sentiment_negative,0.31377389410217177,0.18156277436347668
sentiment_neutral,0.260983538395102,0.045039508340649646
keyword_count,0.018549305609971267,0.01650570676031604
topic_id,0.012073454618097931,0.002633889376646137
score,0.01100326191423198,-0.0019315188762072167
topic_probability,0.008678989635660361,0.00228270412642666
engagement,0.007059209429383361,-0.001229148375768252
