id,post_cid,post_uri,text,author_handle,like_count,repost_count,reply_count,created_at,query_used,collected_at,source
137,bafyreidxmr6kfgjs6aftlraunwbzafbyvtdyf7lomd7hayy6mgrdfjazr4,at://did:plc:ocsbmyulc2grbq3esflddyj6/app.bsky.feed.post/3mcwyj4vbns26,"Amazon review scam! Shady seller makes an Amazon account and buys their product, ships it to whoever, and then writes a glowing review that gets more weight because it's ""verified purchase""",rahaeli.bsky.social,11,0,1,2026-01-21 23:31:28.700000,product review purchase,2026-06-02 18:36:12.531064,bluesky
138,bafyreidlvocbjsp6o3a6mlzq6sga35qug36oth5pkhu3hmlirdsxjcnjyu,at://did:plc:jcso5rqil5dlthzkao5xb45g/app.bsky.feed.post/3mcuy7h7xhy26,"Brooklyn Beckham Cloud23 Hot Sauce Review: Flavors, Rating, Buy Online

https://www.newsbeep.com/us-ny/106242/

If you purchase an independently reviewed product or service through a link on our website, Rolling Stone may…",us-ny-nb.bsky.social,0,0,0,2026-01-21 04:20:40.000000,product review purchase,2026-06-02 18:36:12.531064,bluesky
139,bafyreidrw5ht63f3lfwfkyrtlhhdy7visbxhe2kp3amjgsi4knn7vuefwi,at://did:plc:7oyjwwab2ons47t7vss3xfod/app.bsky.feed.post/3mcsuhzkb2d2l,"... this could really apply to Any Kind of product review actually but it IS in reference to the purchase of a vibe i just received which blew my mind (and indeed, [x] didn't bother me x'''D )",catwif3bynight.bsky.social,0,0,0,2026-01-20 08:08:37.710000,product review purchase,2026-06-02 18:36:12.531064,bluesky
140,bafyreigympwdrrll2juueo4jrsqlqpby32ausow6rlh6crhkjeuwek5bje,at://did:plc:wnhlwfb44kfyi4gb6yc2tvbz/app.bsky.feed.post/3mcoakqoyb22z,🔃 {𝗮𝙅𝙎𝘿} My notes about the article… ⤵,ajsdecepida.bsky.social,0,0,1,2026-01-18 12:01:32.236000,product review purchase,2026-06-02 18:36:12.531064,bluesky
141,bafyreieic5wbo5waq7ccs753fm3nypjipbpjnlwdpgvskkpph2cofv3yje,at://did:plc:nfm56wlox5l7p3b5omjmf3y7/app.bsky.feed.post/3mcat5yeevs2p,at least this seems to be opt-out (? I think?) but jesus christ dude,waxwright.bsky.social,0,1,0,2026-01-13 03:57:11.894000,product review purchase,2026-06-02 18:36:12.531064,bluesky
142,bafyreifa7lfi75wlpczsly6hdr33nb7zxrowauxk7hw523wljchr5jyafy,at://did:plc:obwv4dijfq5yrj3edspzlwq4/app.bsky.feed.post/3mcaq5kpc2s22,"God FUCK OFF, Shopify. Be sure to disable this garbage come Jan 26. You can opt out but OF COURSE it is auto enabled.

""Starting January 26, your products will begin to be available to purchase directly in AI channels like Google AI Mode, ChatGPT, and Microsoft Copilot, through Agentic Storefronts.""",verdantsculpts.bsky.social,75,59,4,2026-01-13 03:03:16.346000,product review purchase,2026-06-02 18:36:12.531064,bluesky
143,bafyreiezwg7jevac6na6ng3xvkg7av5v5e4dqs2mw4ozrgipqbkdm7grme,at://did:plc:3tbobiobug327iq7tqb2brcl/app.bsky.feed.post/3mcaoyteh6s2n,full email with alt text,mcapriglioneart.bsky.social,19,7,2,2026-01-13 02:42:43.920000,product review purchase,2026-06-02 18:36:12.531064,bluesky
144,bafyreiexcnyudg37cg6ownclkq55wshiyo3c2i5v7hmvdbszhm53yo6ota,at://did:plc:tx2b6sfq4zq6my5natgiceda/app.bsky.feed.post/3mc6r3g3lbs2g,"They're not at all searchable but they'll all pop up as ""Amazon Vine Customer Review of Free Product"" rather than ""Verified Purchase"" in the review sections on Amazon. ""Free"" here is a misnomer as it's actually considered income and I still gotta file/pay/write-off taxes on anything I review.",nehiwolfart.com,2,0,1,2026-01-12 08:14:38.667000,product review purchase,2026-06-02 18:36:12.531064,bluesky
145,bafyreiea67yrqppg5gjblz7jap3ukrn4tvh6vwo7ib32jwt4lfmuuqtbha,at://did:plc:cvhzp4oqk57twhhjji5o2b3t/app.bsky.feed.post/3mbusmyiwgu2w,"Les Mills+ app review: Bring 2,500+ fitness classes to your home

https://www.newsbeep.com/nz/222368/

If you purchase a product through a link on our site, we may receive compensation. Without a car,…",nz-nb.bsky.social,0,0,0,2026-01-08 09:15:41.000000,product review purchase,2026-06-02 18:36:12.531064,bluesky
146,bafyreiam6afqjyiomupttjtummnzjaf4fjjkijhy3ftwsnd7fggkaeev6u,at://did:plc:2peokmtjhl25zflu4o2tde72/app.bsky.feed.post/3mbttlqg4to2o,"Les Mills+ app review: Bring 2,500+ fitness classes to your home

https://www.vitaminrush.com/284731/les-mills-app-review-bring-2500-fitness-classes-to-your-home/

If you purchase a product through a link on our site, we may receive compensation. Without a car, getting to the gym is a struggle …",vitaminrush.bsky.social,0,0,0,2026-01-08 00:00:13.000000,product review purchase,2026-06-02 18:36:12.531064,bluesky
