id,platform,platform_weight,query_used,records_fetched,collected_at,status,error_message,duration_seconds
65,hackernews,tertiary,ecommerce data analytics,200,2026-06-02 18:37:05.037686,success,,3.0911061763763428
66,hackernews,tertiary,consumer insight digital market,47,2026-06-02 18:37:08.031000,success,,2.6594979763031006
67,hackernews,tertiary,recent_story,187,2026-06-02 18:37:09.671214,success,,1.305077075958252
68,hackernews,tertiary,recent_comment,195,2026-06-02 18:37:11.505378,success,,1.5002825260162354
69,hackernews,tertiary,topstories,273,2026-06-02 18:41:23.761436,success,,251.91628980636597
70,hackernews,tertiary,newstories,279,2026-06-02 18:45:34.825956,success,,251.02969789505005
71,hackernews,tertiary,askstories,22,2026-06-02 18:45:54.725383,success,,19.856555461883545
72,hackernews,tertiary,showstories,101,2026-06-02 18:47:22.102943,success,,87.34002637863159
73,hackernews,tertiary,top_ecommerce,98,2026-06-02 18:47:23.345742,success,,1.2085387706756592
74,hackernews,tertiary,top_consumer behavior,41,2026-06-02 18:47:25.765847,success,,2.0805342197418213
75,hackernews,tertiary,top_digital market,99,2026-06-02 18:47:27.341674,success,,1.2370967864990234
76,hackernews,tertiary,top_online shopping,100,2026-06-02 18:47:29.034337,success,,1.3441135883331299
77,hackernews,tertiary,top_customer review,100,2026-06-02 18:47:30.842471,success,,1.4709088802337646
